metric,value,percentage
total_records,100,
valid_records,94,94.0
invalid_records,6,6.0
invalid.invalid_clinic_id,1,
invalid.country_clinic_mismatch,1,
invalid.invalid_category,1,
invalid.empty_description,1,
invalid.missing_patient_id,1,
invalid.closed_no_score,1,
invalid.score_out_of_range,0,
category.APPOINTMENT,30,31.9
category.BILLING,20,21.3
category.CLINICAL_CARE,14,14.9
category.ACCESSIBILITY,17,18.1
category.ADMINISTRATIVE,13,13.8
status.OPEN,28,29.8
status.CLOSED,52,55.3
status.DISCARDED,14,14.9
country.US,61,64.9
country.UK,33,35.1
satisfaction.scored_cases,52,
satisfaction.closed_cases,52,
satisfaction.average,3.58,
satisfaction.score_1,3,
satisfaction.score_2,5,
satisfaction.score_3,12,
satisfaction.score_4,23,
satisfaction.score_5,9,
